Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,45.240002,45.360001,44.480000,44.709999,42.022900,34000
2020-09-21,43.770000,43.770000,42.369999,42.810001,40.237091,50000
2020-09-22,42.897999,43.230000,42.419998,42.740002,40.318214,27400
2020-09-23,42.950001,43.060001,41.511002,41.511002,39.158859,26500
2020-09-24,41.389999,42.150002,41.259998,41.620998,39.262615,22500
2020-09-25,41.689999,42.029999,41.487000,41.820000,39.450344,19700
2020-09-28,42.700001,43.430000,42.680000,43.270000,40.818184,34900
2020-09-29,43.000000,43.000000,42.200001,42.650002,40.233315,31800
2020-09-30,42.610001,43.360001,42.609001,42.820000,40.393688,39000
2020-10-01,43.125000,43.410000,42.849998,43.270000,40.818184,34100
2020-10-02,42.650002,44.389999,42.625000,44.290001,41.780392,12900
2020-10-05,45.000000,45.709999,45.000000,45.599998,43.016163,49300
2020-10-06,45.840000,46.810001,45.259998,45.310001,42.742588,55400
2020-10-07,46.080002,46.520000,46.014999,46.450001,43.817997,27100
2020-10-08,46.785000,47.310001,46.785000,47.310001,44.629265,24700
2020-10-09,47.605000,47.605000,47.202000,47.299999,44.619835,16900
2020-10-12,47.402000,47.680000,47.320000,47.580002,44.883961,17300
2020-10-13,47.250000,47.299999,46.830002,46.950001,44.289650,15800
2020-10-14,47.200001,47.333000,46.799999,46.799999,44.148163,25500
2020-10-15,46.450001,47.549999,46.189999,47.470001,44.780193,25700
2020-10-16,47.340000,47.470001,47.070000,47.070000,44.402866,31600
2020-10-19,47.220001,47.470001,46.490002,46.560001,43.921761,43000
2020-10-20,47.320000,47.540001,46.980000,47.070000,44.402866,23500
2020-10-21,47.160000,47.349998,46.770000,46.770000,44.119862,41100
2020-10-22,47.071999,47.820000,46.770000,47.583000,44.886791,59200
2020-10-23,48.270000,48.270000,47.639999,48.070000,45.346199,29700
2020-10-26,47.540001,47.540001,46.259998,46.790001,44.138721,36500
2020-10-27,46.590000,46.599998,45.919998,45.930000,43.327454,35700
2020-10-28,45.169998,45.209999,44.380001,44.400002,41.884155,44400
2020-10-29,44.380001,45.270000,44.380001,45.139999,42.582230,100100
2020-10-30,45.095001,45.095001,44.450001,44.830002,42.289791,60000
2020-11-02,45.369999,45.919998,45.369999,45.869999,43.270855,26200
2020-11-03,46.500000,47.150002,46.500000,47.000000,44.336834,38900
